Country Code,year,indicator,estimate
DMA,1996,rq,1.03
DOM,1996,rq,-0.23
ECU,1996,rq,-0.31
EGY,1996,rq,-0.05
SLV,1996,rq,-0.19
GNQ,1996,rq,-1.44
ERI,1996,rq,-1.13
EST,1996,rq,1.24
SWZ,1996,rq,-0.27
ETH,1996,rq,-1.3
FJI,1996,rq,0.03
FIN,1996,rq,1.55
FRA,1996,rq,1.05
GUF,1996,rq,1.03
GAB,1996,rq,0.14
GMB,1996,rq,-0.84
GEO,1996,rq,-1.01
DEU,1996,rq,1.48
GHA,1996,rq,-0.34
GRC,1996,rq,0.54
GRD,1996,rq,0.55
GTM,1996,rq,-0.31
GIN,1996,rq,-0.84
GNB,1996,rq,-0.83
GUY,1996,rq,-0.17
HTI,1996,rq,-0.91
HND,1996,rq,-0.69
HKG,1996,rq,1.68
HUN,1996,rq,0.85
ISL,1996,rq,1.25
IND,1996,rq,-0.55
IDN,1996,rq,-0.05
IRN,1996,rq,-1.42
IRQ,1996,rq,-2.15
IRL,1996,rq,1.51
ISR,1996,rq,1.08
ITA,1996,rq,0.86
JAM,1996,rq,0.2
JPN,1996,rq,0.77
JOR,1996,rq,0.02
KAZ,1996,rq,-0.33
KEN,1996,rq,-0.31
PRK,1996,rq,-2.28
KOR,1996,rq,0.45
KWT,1996,rq,0.31
KGZ,1996,rq,-0.3
LAO,1996,rq,-1.04
LVA,1996,rq,0.9
LBN,1996,rq,-0.41
LSO,1996,rq,-0.29
LBR,1996,rq,-1.83
LBY,1996,rq,-1.74
LIE,1996,rq,1.51
LTU,1996,rq,1.08
LUX,1996,rq,1.76
MAC,1996,rq,0.55
MDG,1996,rq,-0.91
MWI,1996,rq,-0.29
MYS,1996,rq,0.78
MDV,1996,rq,1.03
MLI,1996,rq,-0.53
MLT,1996,rq,0.97
MTQ,1996,rq,1.03
MRT,1996,rq,-0.4
MUS,1996,rq,-0.12
MEX,1996,rq,0.13
MDA,1996,rq,-0.07
MNG,1996,rq,-0.17
MAR,1996,rq,-0.1
MOZ,1996,rq,-0.52
MMR,1996,rq,-1.68
NAM,1996,rq,0.36
NPL,1996,rq,-0.4
NLD,1996,rq,1.84
NZL,1996,rq,1.89
NIC,1996,rq,-0.44
NER,1996,rq,-0.98
NGA,1996,rq,-0.97
MKD,1996,rq,-0.35
NOR,1996,rq,1.53
OMN,1996,rq,0.09
PAK,1996,rq,-0.51
PAN,1996,rq,0.65
PNG,1996,rq,-0.43
PRY,1996,rq,-0.49
PER,1996,rq,0.49
PHL,1996,rq,0.02
POL,1996,rq,0.72
PRT,1996,rq,1.22
PRI,1996,rq,1.27
QAT,1996,rq,0.17
ROM,1996,rq,0.03
RUS,1996,rq,-0.43
RWA,1996,rq,-1.34
WSM,1996,rq,0.03
SAU,1996,rq,-0.31
SEN,1996,rq,-0.13
SRB,1996,rq,-0.72
SYC,1996,rq,0.31
SLE,1996,rq,-1.53
SGP,1996,rq,2.18
SVK,1996,rq,0.67
SVN,1996,rq,1.09
SOM,1996,rq,-2.35
ZAF,1996,rq,0.52
ESP,1996,rq,1.18
LKA,1996,rq,0.06
SDN,1996,rq,-1.36
SUR,1996,rq,-0.54
SWE,1996,rq,1.32
CHE,1996,rq,1.56
SYR,1996,rq,-1.07
STP,1996,rq,-0.65
TWN,1996,rq,0.87
TJK,1996,rq,-1.52
TZA,1996,rq,-0.44
THA,1996,rq,0.06
TGO,1996,rq,-0.39
TTO,1996,rq,0.6
TUN,1996,rq,0.14
TKM,1996,rq,-1.38
TUR,1996,rq,0.1
UGA,1996,rq,-0.03
UKR,1996,rq,-0.42
ARE,1996,rq,0.69
GBR,1996,rq,2.02
USA,1996,rq,1.59
URY,1996,rq,0.84
UZB,1996,rq,-1.78
VEN,1996,rq,-0.31
VNM,1996,rq,-0.6
WBG,1996,rq,-0.89
YEM,1996,rq,-0.44
ZMB,1996,rq,-0.48
ZWE,1996,rq,-0.77
AFG,1996,va,-1.91
ALB,1996,va,-0.65
DZA,1996,va,-1.17
ADO,1996,va,1.56
AGO,1996,va,-1.58
ATG,1996,va,0.33
ARG,1996,va,0.39
ARM,1996,va,-0.57
AUS,1996,va,1.44
AUT,1996,va,1.45
AZE,1996,va,-1.12
BHS,1996,va,1.1
BHR,1996,va,-0.72
BGD,1996,va,-0.06
BRB,1996,va,1.34
BLR,1996,va,-0.82
